user_id,event_date,sessions,session_minutes,api_calls,tokens,tools_used,failed_requests,successful_requests,agent_runs,ide_plugin_sessions,is_weekend,spend_usd
u-05,2024-01-25,5,38.68,765,384349,14,37,728,45,18,0,22.2
u-06,2024-01-25,1,13.73,41,18928,4,2,39,4,3,0,0.69
u-07,2024-01-25,1,17.33,70,40378,1,9,61,1,1,0,2.23
u-08,2024-01-25,4,45.83,197,95732,4,2,195,11,14,0,0.0
u-09,2024-01-25,1,6.34,23,3879,2,4,19,0,0,0,0.93
u-10,2024-01-25,4,51.89,669,361022,14,25,644,49,26,0,20.75
u-01,2024-01-26,2,21.89,141,95362,4,5,136,9,3,0,2.39
u-02,2024-01-26,3,37.38,192,125731,4,9,183,10,8,0,1.04
u-03,2024-01-26,1,19.85,23,6729,0,3,20,2,0,0,0.0
u-04,2024-01-26,5,53.93,449,259737,9,0,449,18,13,0,2.39
u-05,2024-01-26,5,47.41,621,375774,13,12,609,45,19,0,13.32
u-06,2024-01-26,1,14.64,47,22841,2,2,45,3,2,0,0.69
u-07,2024-01-26,0,0.0,0,0,1,0,0,0,0,0,1.85
u-08,2024-01-26,3,30.35,138,88523,6,4,134,4,6,0,0.0
u-09,2024-01-26,1,11.14,19,3997,1,4,15,0,0,0,1.12
u-10,2024-01-26,5,64.81,1162,652761,14,10,1152,65,24,0,14.65
u-01,2024-01-27,1,12.75,53,39593,6,1,52,3,3,1,1.82
u-02,2024-01-27,0,0.0,0,0,2,0,0,0,0,1,1.2
u-03,2024-01-27,0,0.0,0,0,0,0,0,0,0,1,0.0
u-04,2024-01-27,2,21.81,173,100327,8,0,173,7,7,1,1.49
u-05,2024-01-27,3,23.86,456,251579,13,0,456,22,12,1,21.05
u-06,2024-01-27,2,28.8,97,53417,3,9,88,5,5,1,1.07
u-07,2024-01-27,0,0.0,0,0,0,0,0,0,0,1,0.0
u-08,2024-01-27,1,10.16,32,18950,5,2,30,1,2,1,0.0
u-09,2024-01-27,0,0.0,0,0,0,0,0,0,0,1,0.0
u-10,2024-01-27,3,33.56,691,521829,13,14,677,17,15,1,22.64
u-01,2024-01-28,2,20.8,119,87401,3,6,113,4,3,1,0.0
u-02,2024-01-28,2,21.25,111,71914,4,2,109,7,7,1,0.0
u-03,2024-01-28,0,0.0,0,0,0,0,0,0,0,1,0.0
u-04,2024-01-28,2,14.35,188,127606,9,5,183,9,4,1,3.56
u-05,2024-01-28,3,26.1,619,430613,11,29,590,18,10,1,0.0
u-06,2024-01-28,2,19.29,81,47965,2,3,78,7,4,1,1.42
u-07,2024-01-28,0,0.0,0,0,2,0,0,0,0,1,0.0
u-08,2024-01-28,2,28.5,60,41495,2,2,58,4,5,1,0.0
u-09,2024-01-28,1,11.88,17,3805,0,3,14,0,0,1,0.0
u-10,2024-01-28,4,46.23,906,601240,14,20,886,42,19,1,15.79
u-01,2024-01-29,1,13.35,48,33044,6,1,47,3,3,0,1.36
u-02,2024-01-29,3,33.84,170,86523,4,4,166,11,10,0,0.66
u-03,2024-01-29,1,13.21,38,11311,2,5,33,1,0,0,0.0
u-04,2024-01-29,4,40.36,408,231980,8,14,394,20,9,0,3.6
u-05,2024-01-29,5,34.86,836,516104,12,15,821,21,23,0,16.26
u-06,2024-01-29,2,32.29,79,41545,2,6,73,6,4,0,1.44
u-07,2024-01-29,1,21.25,64,35721,3,8,56,2,1,0,2.22
u-08,2024-01-29,3,41.11,129,80794,4,3,126,5,6,0,0.0
u-09,2024-01-29,0,0.0,0,0,0,0,0,0,0,0,0.92
u-10,2024-01-29,4,42.39,671,484365,14,0,671,44,25,0,34.3
u-01,2024-01-30,2,20.72,137,88598,3,4,133,8,6,0,0.93
u-02,2024-01-30,3,38.7,230,141820,5,7,223,12,10,0,1.39
u-03,2024-01-30,0,0.0,0,0,0,0,0,0,0,0,0.0
u-04,2024-01-30,4,50.74,481,309668,9,41,440,19,10,0,1.42
u-05,2024-01-30,4,36.18,698,508855,11,29,669,30,14,0,9.83
u-06,2024-01-30,2,25.87,118,67443,4,5,113,5,6,0,1.27
u-07,2024-01-30,2,19.53,107,49718,2,15,92,3,2,0,1.89
u-08,2024-01-30,2,20.02,65,36844,4,2,63,5,4,0,0.0
u-09,2024-01-30,0,0.0,0,0,0,0,0,0,0,0,1.42
u-10,2024-01-30,4,42.37,636,432622,14,11,625,53,25,0,25.61
u-01,2024-01-31,3,46.85,163,118082,3,6,157,12,10,0,1.21
u-02,2024-01-31,2,22.3,167,100530,6,0,167,6,7,0,0.88
u-03,2024-01-31,1,9.61,40,9131,1,7,33,2,0,0,0.0
u-04,2024-01-31,4,38.9,412,261973,7,6,406,13,15,0,2.82
u-05,2024-01-31,5,53.6,581,398668,11,0,581,31,19,0,21.97
u-06,2024-01-31,2,28.4,77,38535,1,3,74,7,4,0,0.99
u-07,2024-01-31,0,0.0,0,0,1,0,0,0,0,0,2.4
u-08,2024-01-31,3,31.13,131,89660,5,7,124,6,7,0,0.0
u-09,2024-01-31,0,0.0,0,0,1,0,0,0,0,0,1.09
u-10,2024-01-31,6,55.69,1378,894403,15,50,1328,74,27,0,31.8
u-01,2024-02-01,2,24.66,128,78280,4,6,122,6,5,0,2.11
u-02,2024-02-01,3,36.78,245,154039,5,16,229,7,8,0,0.73
u-03,2024-02-01,1,12.69,39,11315,1,5,34,1,0,0,0.0
u-04,2024-02-01,4,35.97,340,241851,8,10,330,17,10,0,2.82
u-05,2024-02-01,3,22.74,421,313429,12,7,414,22,12,0,20.7
u-06,2024-02-01,2,32.09,106,61568,3,10,96,6,4,0,1.1
u-07,2024-02-01,0,0.0,0,0,0,0,0,0,0,0,2.29
u-08,2024-02-01,2,21.92,77,47671,3,2,75,3,7,0,0.0
u-09,2024-02-01,0,0.0,0,0,2,0,0,0,0,0,1.37
u-10,2024-02-01,5,51.81,1195,790882,15,0,1195,41,16,0,38.96
u-01,2024-02-02,3,51.93,199,144565,7,7,192,12,6,0,2.11
u-02,2024-02-02,4,47.39,259,166143,4,0,259,17,15,0,0.59
u-03,2024-02-02,1,13.12,41,10502,2,6,35,1,0,0,0.0
u-04,2024-02-02,4,44.85,314,231282,8,10,304,11,17,0,1.67
u-05,2024-02-02,4,37.71,733,539850,11,34,699,19,13,0,9.96
u-06,2024-02-02,1,14.9,68,27645,2,5,63,4,3,0,0.58
u-07,2024-02-02,1,9.23,77,36324,1,10,67,1,1,0,1.56
u-08,2024-02-02,2,19.11,85,41236,4,1,84,3,6,0,0.0
u-09,2024-02-02,0,0.0,0,0,0,0,0,0,0,0,1.35
u-10,2024-02-02,5,66.54,787,447014,14,16,771,53,14,0,13.71
u-01,2024-02-03,2,26.29,98,56820,3,7,91,6,6,1,0.0
u-02,2024-02-03,2,24.03,102,61294,4,3,99,8,7,1,0.93
u-03,2024-02-03,0,0.0,0,0,0,0,0,0,0,1,0.0
u-04,2024-02-03,3,29.21,225,146717,9,4,221,14,10,1,0.0
u-05,2024-02-03,4,35.83,622,405144,13,30,592,35,15,1,20.31
u-06,2024-02-03,1,18.23,45,21050,2,3,42,2,2,1,0.85
u-07,2024-02-03,1,24.27,44,24920,2,5,39,2,1,1,1.77
u-08,2024-02-03,1,11.32,31,17511,3,0,31,3,3,1,0.0
u-09,2024-02-03,0,0.0,0,0,1,0,0,0,0,1,0.84
u-10,2024-02-03,3,33.68,711,539441,13,40,671,31,16,1,0.0
u-01,2024-02-04,1,16.58,47,27328,3,2,45,3,1,1,1.74
u-02,2024-02-04,1,10.92,72,35090,5,1,71,3,2,1,0.0
u-03,2024-02-04,0,0.0,0,0,0,0,0,0,0,1,0.0
u-04,2024-02-04,3,34.35,331,188017,7,0,331,12,8,1,1.62
u-05,2024-02-04,3,28.04,531,330100,12,13,518,19,11,1,0.0
u-06,2024-02-04,1,16.84,42,18946,3,3,39,3,2,1,0.0
u-07,2024-02-04,0,0.0,0,0,0,0,0,0,0,1,0.0
u-08,2024-02-04,2,32.95,97,59964,4,0,97,4,4,1,0.0
u-09,2024-02-04,0,0.0,0,0,0,0,0,0,0,1,0.57
u-10,2024-02-04,3,31.27,632,425372,13,19,613,25,12,1,0.0
u-01,2024-02-05,2,25.31,110,85240,3,7,103,8,6,0,1.2
u-02,2024-02-05,3,37.64,212,140440,5,2,210,12,8,0,1.21
u-03,2024-02-05,1,6.55,42,10771,0,5,37,2,0,0,0.0
u-04,2024-02-05,5,52.81,441,250783,9,8,433,18,15,0,1.47
u-05,2024-02-05,5,43.26,975,695978,11,14,961,33,18,0,21.49
u-06,2024-02-05,2,24.9,126,66826,3,10,116,4,3,0,0.58
u-07,2024-02-05,1,12.28,68,34062,2,9,59,2,1,0,1.67
u-08,2024-02-05,3,40.87,104,60123,3,6,98,8,9,0,0.0
u-09,2024-02-05,1,14.21,17,3704,0,3,14,0,0,0,1.05
u-10,2024-02-05,5,59.56,1281,921801,13,47,1234,64,20,0,23.35
u-01,2024-02-06,2,17.41,120,90527,4,1,119,6,5,0,1.51
u-02,2024-02-06,3,38.62,162,86088,6,2,160,8,6,0,0.56
u-03,2024-02-06,1,10.09,39,11057,1,6,33,1,0,0,0.0
u-04,2024-02-06,4,42.08,480,332532,8,0,480,16,12,0,3.1
u-05,2024-02-06,5,50.4,697,478932,11,26,671,29,21,0,16.12
u-06,2024-02-06,2,23.84,135,80580,2,9,126,5,5,0,1.42
u-07,2024-02-06,1,6.79,47,21150,1,4,43,2,1,0,2.2
u-08,2024-02-06,3,32.04,139,75820,4,3,136,6,11,0,0.0
u-09,2024-02-06,0,0.0,0,0,1,0,0,0,0,0,1.44
u-10,2024-02-06,4,43.69,1007,762413,14,0,1007,27,16,0,35.42
u-01,2024-02-07,1,12.31,61,39831,3,3,58,2,3,0,1.71
u-02,2024-02-07,3,34.13,153,84019,4,3,150,10,11,0,0.93
u-03,2024-02-07,1,20.32,35,7058,2,5,30,1,0,0,0.0
u-04,2024-02-07,4,40.31,439,228896,9,8,431,17,13,0,3.92
u-05,2024-02-07,5,40.31,786,517909,12,36,750,20,21,0,14.05
u-06,2024-02-07,1,14.17,62,33916,2,4,58,3,3,0,0.65
u-07,2024-02-07,1,16.02,67,35265,1,8,59,2,1,0,1.3
u-08,2024-02-07,2,26.57,58,40833,4,0,58,4,4,0,0.0
u-09,2024-02-07,0,0.0,0,0,1,0,0,0,0,0,0.8
u-10,2024-02-07,5,59.31,1234,902731,15,10,1224,66,24,0,26.57
u-01,2024-02-08,3,34.4,193,140354,5,10,183,12,7,0,1.34
u-02,2024-02-08,4,51.39,236,147412,4,8,228,12,7,0,1.32
u-03,2024-02-08,0,0.0,0,0,3,0,0,0,0,0,0.0
u-04,2024-02-08,4,34.13,443,327021,9,12,431,21,8,0,1.49
u-05,2024-02-08,6,55.02,893,573137,11,6,887,56,18,0,21.01
u-06,2024-02-08,1,11.01,50,26496,2,3,47,3,2,0,0.86
u-07,2024-02-08,1,11.39,51,24952,2,7,44,2,1,0,1.02
u-08,2024-02-08,3,39.96,149,87437,3,8,141,8,7,0,0.0
u-09,2024-02-08,1,15.74,25,5703,1,5,20,0,0,0,0.98
u-10,2024-02-08,3,34.95,470,349727,14,21,449,25,18,0,28.01
u-01,2024-02-09,2,23.98,97,77590,4,3,94,8,6,0,0.94
u-02,2024-02-09,2,28.04,129,82976,5,0,129,8,6,0,0.66
u-03,2024-02-09,1,17.2,42,8633,1,7,35,1,0,0,0.0
u-04,2024-02-09,4,33.25,495,352184,10,5,490,18,9,0,2.11
u-05,2024-02-09,6,47.07,769,565524,12,36,733,48,22,0,22.33
u-06,2024-02-09,2,17.86,76,31091,2,3,73,6,6,0,0.89
u-07,2024-02-09,0,0.0,0,0,0,0,0,0,0,0,2.38
u-08,2024-02-09,2,24.77,89,49073,4,3,86,4,5,0,0.0
u-09,2024-02-09,0,0.0,0,0,0,0,0,0,0,0,0.61
u-10,2024-02-09,3,30.39,535,351883,15,10,525,19,12,0,23.55
u-01,2024-02-10,2,22.88,133,76597,3,4,129,5,6,1,0.0
u-02,2024-02-10,3,29.15,177,85945,5,7,170,14,7,1,0.0
u-03,2024-02-10,0,0.0,0,0,1,0,0,0,0,1,0.0
u-04,2024-02-10,1,9.45,96,69179,8,0,96,4,3,1,1.83
u-05,2024-02-10,3,26.62,481,332420,11,43,438,23,7,1,14.87
u-06,2024-02-10,1,11.75,67,36917,3,6,61,3,1,1,0.0
u-07,2024-02-10,0,0.0,0,0,2,0,0,0,0,1,1.08
u-08,2024-02-10,2,30.55,70,39251,4,3,67,5,5,1,0.0
u-09,2024-02-10,0,0.0,0,0,0,0,0,0,0,1,1.15
u-10,2024-02-10,3,33.96,768,569939,14,0,768,33,15,1,0.0
u-01,2024-02-11,1,10.44,66,37801,4,2,64,4,2,1,0.0
u-02,2024-02-11,2,25.09,149,86195,5,0,149,9,7,1,0.0
u-03,2024-02-11,1,14.6,30,7987,0,4,26,1,0,1,0.0
u-04,2024-02-11,2,23.41,227,150008,8,0,227,6,5,1,1.91
u-05,2024-02-11,3,26.57,419,231212,12,6,413,18,14,1,12.87
u-06,2024-02-11,2,36.28,99,59007,4,1,98,7,4,1,0.0
u-07,2024-02-11,0,0.0,0,0,0,0,0,0,0,1,2.34
u-08,2024-02-11,2,23.28,86,53392,3,3,83,4,6,1,0.0
u-09,2024-02-11,1,3.2,15,3325,2,3,12,0,0,1,1.33
u-10,2024-02-11,3,31.13,767,474756,14,0,767,19,15,1,32.58
u-01,2024-02-12,1,17.36,44,33818,3,3,41,4,2,0,1.63
u-02,2024-02-12,4,62.39,335,231290,4,15,320,9,16,0,0.76
u-03,2024-02-12,1,18.25,33,9697,1,5,28,1,0,0,0.0
u-04,2024-02-12,4,36.27,325,222350,8,5,320,21,9,0,3.57
u-05,2024-02-12,4,41.98,646,337008,11,15,631,19,12,0,12.44
u-06,2024-02-12,1,14.5,61,36039,4,3,58,2,3,0,1.15
u-07,2024-02-12,2,34.64,106,50995,2,8,98,4,1,0,1.01
u-08,2024-02-12,3,40.34,128,68172,4,5,123,7,9,0,0.0
u-09,2024-02-12,1,4.63,20,4263,1,4,16,0,0,0,0.56
u-10,2024-02-12,5,47.37,747,510782,15,32,715,47,25,0,17.31
u-01,2024-02-13,2,22.86,84,49401,5,3,81,6,6,0,1.56
u-02,2024-02-13,3,29.5,147,86873,5,5,142,9,11,0,1.2
u-03,2024-02-13,0,0.0,0,0,0,0,0,0,0,0,0.0
u-04,2024-02-13,4,39.24,504,255999,7,14,490,21,18,0,3.02
u-05,2024-02-13,3,31.52,446,319963,13,9,437,23,12,0,17.29
u-06,2024-02-13,1,12.13,43,21820,1,2,41,2,1,0,0.51
u-07,2024-02-13,0,0.0,0,0,2,0,0,0,0,0,1.38
u-08,2024-02-13,2,22.49,91,46145,6,3,88,5,7,0,0.0
u-09,2024-02-13,0,0.0,0,0,2,0,0,0,0,0,1.16
u-10,2024-02-13,5,58.3,941,560670,14,56,885,30,24,0,21.02
u-01,2024-02-14,2,18.7,97,67199,4,2,95,5,3,0,1.9
u-02,2024-02-14,3,39.16,147,104024,7,0,147,11,8,0,0.96
u-03,2024-02-14,2,19.87,74,20615,1,12,62,2,0,0,0.0
u-04,2024-02-14,3,31.21,264,178700,9,0,264,13,13,0,2.78
u-05,2024-02-14,5,47.78,658,435383,14,8,650,23,20,0,11.49
u-06,2024-02-14,1,19.62,57,32759,4,5,52,3,2,0,0.95
u-07,2024-02-14,1,11.71,76,30633,4,8,68,1,1,0,1.6
u-08,2024-02-14,3,44.16,99,69263,2,2,97,6,8,0,0.0
u-09,2024-02-14,0,0.0,0,0,1,0,0,0,0,0,1.3
u-10,2024-02-14,4,48.12,759,518655,14,17,742,30,26,0,28.74
u-01,2024-02-15,2,23.18,98,62193,4,5,93,7,5,0,1.24
u-02,2024-02-15,2,27.11,145,86673,3,5,140,5,7,0,0.96
u-03,2024-02-15,1,17.42,36,7411,0,7,29,2,0,0,0.0
u-04,2024-02-15,4,31.81,336,227402,9,11,325,15,14,0,3.07
u-05,2024-02-15,5,40.73,794,398313,11,21,773,35,14,0,24.58
u-06,2024-02-15,1,20.74,59,33113,3,4,55,2,2,0,0.67
u-07,2024-02-15,1,5.94,52,24928,2,5,47,2,1,0,1.19
u-08,2024-02-15,3,31.31,131,89862,2,4,127,6,9,0,0.0
u-09,2024-02-15,0,0.0,0,0,0,0,0,0,0,0,1.24
u-10,2024-02-15,3,30.69,454,306076,15,11,443,37,19,0,25.98
u-01,2024-02-16,2,25.97,137,105922,4,5,132,8,4,0,2.39
u-02,2024-02-16,2,20.44,150,86339,6,4,146,5,7,0,0.86
u-03,2024-02-16,1,9.28,38,8132,3,6,32,1,0,0,0.0
u-04,2024-02-16,3,32.76,271,187600,9,1,270,16,6,0,2.04
u-05,2024-02-16,6,53.68,877,644846,11,37,840,46,13,0,18.61
u-06,2024-02-16,2,19.27,80,34468,3,3,77,7,4,0,0.59
u-07,2024-02-16,1,15.14,55,24967,2,7,48,2,1,0,1.48
u-08,2024-02-16,3,36.92,91,56741,4,4,87,5,7,0,0.0
u-09,2024-02-16,1,3.68,26,5350,1,6,20,0,0,0,0.96
u-10,2024-02-16,5,57.85,953,631326,15,26,927,37,26,0,29.13
u-01,2024-02-17,1,13.75,48,37745,3,3,45,4,2,1,0.0
u-02,2024-02-17,2,17.28,171,87667,4,11,160,5,5,1,1.42
u-03,2024-02-17,0,0.0,0,0,2,0,0,0,0,1,0.0
u-04,2024-02-17,3,33.65,317,201741,9,0,317,18,9,1,2.47
u-05,2024-02-17,2,17.21,381,266286,13,4,377,15,5,1,20.21
u-06,2024-02-17,1,14.98,69,34213,3,3,66,4,3,1,1.25
u-07,2024-02-17,1,8.25,61,32186,4,9,52,2,1,1,0.89
u-08,2024-02-17,2,29.99,75,49548,4,4,71,2,4,1,0.0
u-09,2024-02-17,0,0.0,0,0,0,0,0,0,0,1,1.05
u-10,2024-02-17,2,22.22,286,160507,12,13,273,13,13,1,0.0
u-01,2024-02-18,1,15.05,45,29795,3,2,43,4,2,1,0.0
u-02,2024-02-18,2,21.8,161,102318,5,1,160,10,4,1,0.0
u-03,2024-02-18,1,17.41,43,9597,0,7,36,2,0,1,0.0
u-04,2024-02-18,2,18.91,211,126011,8,0,211,10,8,1,0.0
u-05,2024-02-18,4,40.84,520,302378,11,18,502,35,14,1,18.25
u-06,2024-02-18,0,0.0,0,0,0,0,0,0,0,1,0.77
u-07,2024-02-18,0,0.0,0,0,1,0,0,0,0,1,0.0
u-08,2024-02-18,2,29.61,81,47011,5,4,77,3,6,1,0.0
u-09,2024-02-18,1,10.0,20,3424,1,4,16,0,0,1,0.0
u-10,2024-02-18,3,37.97,767,512446,12,16,751,26,18,1,0.0
u-01,2024-02-19,2,26.02,126,77014,4,8,118,4,4,0,2.03
u-02,2024-02-19,3,28.72,154,78141,5,0,154,9,11,0,0.52
u-03,2024-02-19,0,0.0,0,0,0,0,0,0,0,0,0.0
u-04,2024-02-19,3,34.1,273,192242,8,0,273,16,7,0,3.45
u-05,2024-02-19,6,49.25,1081,711506,12,38,1043,31,15,0,9.3
u-06,2024-02-19,2,26.13,109,50656,4,6,103,5,6,0,1.44
u-07,2024-02-19,0,0.0,0,0,2,0,0,0,0,0,2.32
u-08,2024-02-19,4,47.24,124,85295,4,8,116,10,13,0,0.0
u-09,2024-02-19,0,0.0,0,0,0,0,0,0,0,0,1.33
u-10,2024-02-19,5,61.13,867,678881,15,0,867,41,14,0,33.93
u-01,2024-02-20,3,36.98,160,113670,2,6,154,10,5,0,1.52
u-02,2024-02-20,3,35.94,239,134094,6,0,239,10,7,0,1.14
u-03,2024-02-20,0,0.0,0,0,1,0,0,0,0,0,0.0
u-04,2024-02-20,5,44.74,350,258828,8,14,336,15,18,0,1.74
u-05,2024-02-20,5,43.36,874,491710,11,53,821,25,16,0,13.4
u-06,2024-02-20,1,12.35,58,31363,4,3,55,2,2,0,1.14
u-07,2024-02-20,2,30.9,143,85461,2,18,125,2,2,0,2.01
u-08,2024-02-20,3,39.12,147,75398,4,0,147,4,11,0,0.0
u-09,2024-02-20,0,0.0,0,0,0,0,0,0,0,0,0.63
u-10,2024-02-20,4,38.69,973,541426,15,46,927,41,17,0,38.97
u-01,2024-02-21,3,36.71,142,78924,5,2,140,10,9,0,1.94
u-02,2024-02-21,3,39.23,176,106350,4,0,176,8,5,0,1.35
u-03,2024-02-21,0,0.0,0,0,1,0,0,0,0,0,0.0
u-04,2024-02-21,3,28.17,388,284591,9,15,373,13,9,0,3.12
u-05,2024-02-21,5,32.61,930,468880,13,34,896,21,11,0,21.45
u-06,2024-02-21,1,14.47,53,25604,3,3,50,3,2,0,0.75
u-07,2024-02-21,0,0.0,0,0,2,0,0,0,0,0,1.85
u-08,2024-02-21,3,40.59,89,57644,3,2,87,4,5,0,0.0
u-09,2024-02-21,0,0.0,0,0,0,0,0,0,0,0,1.2
u-10,2024-02-21,5,61.5,1121,646842,15,14,1107,58,28,0,17.76
u-01,2024-02-22,3,46.69,141,108529,4,5,136,12,6,0,0.92
u-02,2024-02-22,3,28.63,149,87798,4,6,143,11,8,0,0.73
u-03,2024-02-22,1,15.93,38,8468,1,6,32,2,0,0,0.0
u-04,2024-02-22,4,41.91,503,359329,6,0,503,20,12,0,2.16
u-05,2024-02-22,4,39.21,552,286748,11,26,526,36,10,0,21.7
u-06,2024-02-22,3,41.11,119,58669,3,12,107,7,7,0,0.49
u-07,2024-02-22,1,21.13,53,27801,1,7,46,2,1,0,1.14
u-08,2024-02-22,4,40.08,136,65488,3,5,131,7,14,0,0.0
u-09,2024-02-22,0,0.0,0,0,0,0,0,0,0,0,1.0
u-10,2024-02-22,4,44.83,589,470722,15,11,578,51,25,0,27.16
u-01,2024-02-23,2,24.12,140,77836,3,7,133,8,3,0,1.74
u-02,2024-02-23,3,23.16,168,91163,6,1,167,12,10,0,0.79
u-03,2024-02-23,1,11.73,27,7506,1,4,23,1,0,0,0.0
u-04,2024-02-23,4,27.4,330,190435,7,3,327,12,15,0,3.49
u-05,2024-02-23,5,44.53,961,559252,12,41,920,30,17,0,19.58
u-06,2024-02-23,2,28.03,77,37028,6,2,75,4,4,0,1.26
u-07,2024-02-23,1,15.5,72,42949,2,10,62,2,1,0,1.87
u-08,2024-02-23,4,42.62,190,92194,4,13,177,8,8,0,0.0
u-09,2024-02-23,1,12.15,15,2953,0,3,12,0,0,0,0.51
u-10,2024-02-23,5,54.16,829,483506,13,10,819,29,26,0,19.86
u-01,2024-02-24,2,24.14,112,61555,5,4,108,5,6,1,1.85
u-02,2024-02-24,2,25.24,172,114837,3,1,171,7,8,1,0.86
u-03,2024-02-24,1,13.87,28,8108,2,4,24,2,0,1,0.0
u-04,2024-02-24,2,21.13,219,124092,8,6,213,5,9,1,0.0
u-05,2024-02-24,2,20.04,292,207263,11,11,281,15,9,1,23.52
u-06,2024-02-24,1,19.76,68,34865,3,3,65,4,3,1,0.0
u-07,2024-02-24,0,0.0,0,0,1,0,0,0,0,1,0.0
u-08,2024-02-24,2,23.98,100,52835,5,5,95,5,7,1,0.0
u-09,2024-02-24,1,10.91,25,5549,2,4,21,0,0,1,0.87
u-10,2024-02-24,3,35.01,469,269832,16,4,465,39,16,1,0.0
u-01,2024-02-25,2,24.09,137,101818,4,9,128,5,4,1,1.02
u-02,2024-02-25,2,15.28,169,97003,8,3,166,4,6,1,1.42
u-03,2024-02-25,0,0.0,0,0,2,0,0,0,0,1,0.0
u-04,2024-02-25,2,20.81,225,148450,8,6,219,7,5,1,0.0
u-05,2024-02-25,3,26.94,336,200419,12,8,328,27,10,1,0.0
u-06,2024-02-25,0,0.0,0,0,0,0,0,0,0,1,1.15
u-07,2024-02-25,0,0.0,0,0,1,0,0,0,0,1,0.0
u-08,2024-02-25,3,38.8,137,83747,5,5,132,7,9,1,0.0
u-09,2024-02-25,0,0.0,0,0,1,0,0,0,0,1,0.0
u-10,2024-02-25,3,34.68,488,350995,14,0,488,23,12,1,0.0
u-01,2024-02-26,3,40.91,197,113135,3,11,186,8,8,0,1.8
u-02,2024-02-26,3,36.09,160,88006,7,6,154,9,8,0,0.96
u-03,2024-02-26,0,0.0,0,0,0,0,0,0,0,0,0.0
u-04,2024-02-26,4,39.53,334,189425,9,14,320,19,8,0,2.22
u-05,2024-02-26,5,32.16,843,538172,11,42,801,32,17,0,22.74
u-06,2024-02-26,0,0.0,0,0,0,0,0,0,0,0,1.36
u-07,2024-02-26,0,0.0,0,0,0,0,0,0,0,0,1.01
u-08,2024-02-26,2,24.11,103,73472,3,3,100,4,8,0,0.0
u-09,2024-02-26,0,0.0,0,0,1,0,0,0,0,0,1.36
u-10,2024-02-26,5,54.49,933,596462,14,32,901,46,31,0,34.27
u-01,2024-02-27,1,10.8,52,33480,5,3,49,4,3,0,2.33
u-02,2024-02-27,3,34.11,174,105888,4,6,168,9,8,0,1.07
u-03,2024-02-27,1,12.94,26,6783,1,4,22,2,0,0,0.0
u-04,2024-02-27,4,28.74,495,250004,8,0,495,14,13,0,3.15
u-05,2024-02-27,6,61.0,749,556923,10,32,717,33,19,0,19.05
