payment_id,user_id,payment_date,status
p-00234,u-0144,2023-12-07,failed
p-00235,u-0145,2023-12-17,ok
p-00236,u-0145,2024-01-26,failed
p-00237,u-0145,2023-12-12,ok
p-00238,u-0145,2024-02-22,ok
p-00239,u-0146,2023-12-06,ok
p-00240,u-0146,2024-02-22,ok
p-00241,u-0146,2023-12-31,ok
p-00242,u-0148,2023-12-14,ok
p-00243,u-0149,2023-12-12,ok
p-00244,u-0149,2024-02-28,ok
p-00245,u-0149,2023-12-15,ok
p-00246,u-0150,2024-02-09,ok
p-00247,u-0153,2023-12-30,ok
p-00248,u-0154,2024-02-03,ok
p-00249,u-0157,2024-02-01,ok
p-00250,u-0158,2024-02-13,ok
p-00251,u-0158,2024-01-28,ok
p-00252,u-0158,2024-02-09,ok
p-00253,u-0158,2024-01-14,ok
p-00254,u-0159,2024-01-12,ok
p-00255,u-0159,2024-02-24,ok
p-00256,u-0160,2024-02-18,ok
p-00257,u-0160,2024-02-17,ok
p-00258,u-0161,2024-02-11,ok
p-00259,u-0161,2024-02-15,ok
p-00260,u-0161,2024-01-01,ok
p-00261,u-0162,2023-12-26,ok
p-00262,u-0162,2024-02-18,ok
p-00263,u-0162,2024-01-13,ok
p-00264,u-0163,2024-01-01,ok
p-00265,u-0163,2024-01-21,ok
p-00266,u-0165,2023-12-30,ok
p-00267,u-0166,2023-12-13,ok
p-00268,u-0166,2024-01-02,ok
p-00269,u-0167,2024-02-02,ok
p-00270,u-0167,2024-01-04,failed
p-00271,u-0169,2024-02-21,ok
p-00272,u-0169,2024-01-10,ok
p-00273,u-0169,2023-12-05,ok
p-00274,u-0170,2024-02-09,failed
p-00275,u-0172,2024-02-13,ok
p-00276,u-0172,2024-01-12,failed
p-00277,u-0172,2024-01-18,ok
p-00278,u-0172,2023-12-12,ok
p-00279,u-0176,2024-02-07,ok
p-00280,u-0176,2024-03-02,ok
p-00281,u-0176,2024-01-06,ok
p-00282,u-0178,2024-02-13,ok
p-00283,u-0179,2024-02-24,ok
p-00284,u-0179,2023-12-28,ok
p-00285,u-0179,2023-12-10,ok
p-00286,u-0179,2024-03-02,ok
p-00287,u-0180,2024-01-10,failed
p-00288,u-0180,2024-01-14,ok
p-00289,u-0180,2024-01-02,failed
p-00290,u-0181,2024-01-01,ok
p-00291,u-0181,2024-02-09,ok
p-00292,u-0182,2024-01-16,failed
p-00293,u-0182,2023-12-26,ok
p-00294,u-0182,2023-12-25,ok
p-00295,u-0183,2024-01-31,ok
p-00296,u-0183,2024-01-17,ok
p-00297,u-0183,2024-01-15,failed
p-00298,u-0186,2023-12-04,ok
p-00299,u-0186,2023-12-10,failed
p-00300,u-0187,2024-01-23,ok
p-00301,u-0188,2023-12-19,ok
p-00302,u-0188,2023-12-22,failed
p-00303,u-0189,2024-01-05,ok
p-00304,u-0189,2024-02-10,ok
p-00305,u-0189,2024-01-07,failed
p-00306,u-0190,2023-12-05,ok
p-00307,u-0194,2024-02-12,ok
p-00308,u-0194,2024-01-21,ok
p-00309,u-0194,2024-01-11,failed
p-00310,u-0195,2024-01-06,ok
p-00311,u-0195,2024-01-13,failed
p-00312,u-0196,2024-02-25,ok
p-00313,u-0197,2023-12-17,ok
p-00314,u-0197,2023-12-16,ok
p-00315,u-0197,2023-12-17,failed
p-00316,u-0197,2023-12-08,failed
p-00317,u-0198,2024-03-02,ok
p-00318,u-0198,2024-01-29,ok
p-00319,u-0198,2024-02-21,ok
p-00320,u-0198,2024-02-06,failed
p-00321,u-0204,2024-01-18,ok
p-00322,u-0212,2024-01-12,ok
p-00323,u-0212,2024-03-01,ok
p-00324,u-0215,2024-01-08,ok
p-00325,u-0215,2023-12-22,failed
p-00326,u-0215,2024-01-09,ok
p-00327,u-0215,2023-12-25,ok
p-00328,u-0217,2024-01-11,ok
p-00329,u-0217,2024-01-11,ok
p-00330,u-0218,2024-02-21,ok
p-00331,u-0218,2023-12-28,ok
p-00332,u-0218,2023-12-15,ok
p-00333,u-0218,2024-01-10,ok
p-00334,u-0219,2024-01-21,ok
p-00335,u-0219,2024-01-30,ok
p-00336,u-0220,2024-01-12,ok
p-00337,u-0220,2024-01-28,ok
p-00338,u-0220,2024-01-21,ok
p-00339,u-0220,2024-02-18,failed
p-00340,u-0221,2024-02-04,ok
p-00341,u-0221,2024-01-15,ok
p-00342,u-0223,2023-12-06,ok
p-00343,u-0223,2024-01-21,ok
p-00344,u-0223,2023-12-20,ok
p-00345,u-0225,2024-02-20,failed
p-00346,u-0225,2023-12-13,ok
p-00347,u-0225,2023-12-12,ok
p-00348,u-0227,2024-01-12,ok
p-00349,u-0227,2024-02-17,failed
p-00350,u-0227,2024-01-05,ok
p-00351,u-0229,2024-01-07,ok
p-00352,u-0229,2024-01-24,ok
p-00353,u-0232,2023-12-22,ok
p-00354,u-0233,2024-01-06,ok
p-00355,u-0233,2024-01-11,ok
p-00356,u-0233,2024-02-21,failed
p-00357,u-0233,2024-01-09,ok
p-00358,u-0236,2024-01-16,ok
p-00359,u-0236,2024-01-27,ok
p-00360,u-0237,2023-12-05,failed
p-00361,u-0237,2024-01-12,ok
p-00362,u-0237,2023-12-08,ok
p-00363,u-0238,2023-12-27,ok
p-00364,u-0238,2024-01-27,ok
p-00365,u-0239,2024-01-24,ok
p-00366,u-0239,2023-12-31,ok
p-00367,u-0240,2024-02-27,ok
p-00368,u-0240,2023-12-24,ok
p-00369,u-0241,2023-12-07,ok
p-00370,u-0243,2024-01-01,ok
p-00371,u-0243,2024-02-20,ok
p-00372,u-0244,2024-02-03,ok
p-00373,u-0244,2024-01-26,ok
p-00374,u-0244,2024-01-09,ok
p-00375,u-0244,2024-01-05,ok
p-00376,u-0246,2024-02-23,ok
p-00377,u-0246,2024-01-23,ok
p-00378,u-0246,2024-01-01,ok
p-00379,u-0249,2023-12-31,ok
p-00380,u-0250,2023-12-14,ok
p-00381,u-0250,2023-12-18,ok
p-00382,u-0250,2024-01-30,failed
p-00383,u-0252,2024-02-01,ok
p-00384,u-0252,2024-01-02,ok
p-00385,u-0252,2023-12-31,failed
p-00386,u-0252,2024-02-09,failed
p-00387,u-0254,2023-12-12,ok
p-00388,u-0254,2024-01-08,ok
p-00389,u-0254,2023-12-16,ok
p-00390,u-0255,2024-02-03,ok
p-00391,u-0255,2024-02-23,ok
p-00392,u-0256,2024-01-27,ok
p-00393,u-0256,2023-12-18,ok
p-00394,u-0256,2024-01-18,ok
p-00395,u-0256,2024-02-03,ok
p-00396,u-0259,2024-02-05,failed
p-00397,u-0259,2024-01-24,ok
p-00398,u-0259,2024-01-09,ok
p-00399,u-0262,2023-12-05,ok
p-00400,u-0262,2023-12-15,ok
p-00401,u-0263,2024-01-27,ok
p-00402,u-0263,2024-02-05,ok
p-00403,u-0265,2024-01-05,ok
p-00404,u-0265,2024-02-18,ok
p-00405,u-0267,2023-12-12,ok
p-00406,u-0267,2024-01-03,ok
p-00407,u-0267,2024-02-13,failed
p-00408,u-0268,2024-01-16,ok
p-00409,u-0268,2023-12-11,ok
p-00410,u-0268,2024-01-14,ok
p-00411,u-0268,2024-02-29,ok
p-00412,u-0269,2023-12-20,ok
p-00413,u-0269,2023-12-27,ok
p-00414,u-0270,2024-01-21,failed
p-00415,u-0270,2024-02-12,ok
p-00416,u-0270,2024-01-02,ok
p-00417,u-0271,2023-12-30,ok
p-00418,u-0271,2024-02-20,ok
p-00419,u-0271,2024-02-14,failed
p-00420,u-0273,2024-02-05,ok
p-00421,u-0273,2023-12-28,ok
p-00422,u-0274,2023-12-17,failed
p-00423,u-0274,2024-01-15,ok
p-00424,u-0274,2024-01-06,ok
p-00425,u-0275,2024-01-17,ok
p-00426,u-0275,2024-01-26,ok
p-00427,u-0275,2024-01-19,ok
p-00428,u-0275,2024-02-07,ok
p-00429,u-0276,2024-01-27,ok
p-00430,u-0277,2023-12-23,ok
p-00431,u-0277,2023-12-12,ok
p-00432,u-0277,2024-03-01,ok
p-00433,u-0277,2024-02-08,ok
p-00434,u-0278,2024-02-12,ok
p-00435,u-0278,2023-12-10,ok
p-00436,u-0278,2024-01-14,failed
p-00437,u-0280,2024-02-23,ok
p-00438,u-0280,2023-12-15,ok
p-00439,u-0280,2024-01-30,failed
p-00440,u-0281,2024-02-18,ok
p-00441,u-0281,2024-02-17,failed
p-00442,u-0281,2024-01-10,ok
p-00443,u-0283,2023-12-05,ok
p-00444,u-0284,2024-02-23,ok
p-00445,u-0285,2023-12-24,ok
p-00446,u-0286,2024-02-26,ok
p-00447,u-0286,2024-02-23,ok
p-00448,u-0286,2024-01-10,ok
p-00449,u-0287,2023-12-26,ok
p-00450,u-0287,2023-12-27,ok
p-00451,u-0288,2023-12-12,failed
p-00452,u-0288,2023-12-18,ok
p-00453,u-0289,2024-01-23,failed
p-00454,u-0289,2023-12-07,ok
p-00455,u-0290,2024-02-23,ok
p-00456,u-0290,2023-12-24,ok
p-00457,u-0293,2024-02-11,ok
p-00458,u-0293,2024-02-06,ok
p-00459,u-0293,2023-12-10,ok
p-00460,u-0293,2024-02-16,ok
p-00461,u-0294,2024-03-01,ok
p-00462,u-0294,2023-12-24,ok
p-00463,u-0295,2024-02-14,ok
p-00464,u-0295,2023-12-06,ok
p-00465,u-0295,2024-01-05,ok
p-00466,u-0295,2024-01-24,ok
p-00467,u-0298,2024-01-13,ok
p-00468,u-0300,2024-02-21,ok
p-00469,u-0300,2023-12-08,ok
p-00470,u-0300,2023-12-19,ok
p-00471,u-0300,2024-01-11,ok
p-00472,u-0302,2024-02-14,ok
p-00473,u-0302,2024-01-23,ok
p-00474,u-0303,2023-12-17,ok
p-00475,u-0303,2023-12-27,ok
p-00476,u-0305,2024-01-22,ok
p-00477,u-0307,2024-02-27,ok
p-00478,u-0307,2024-02-11,ok
p-00479,u-0308,2024-02-12,ok
p-00480,u-0309,2024-02-10,ok
p-00481,u-0309,2024-02-11,ok
p-00482,u-0309,2023-12-25,ok
p-00483,u-0310,2024-02-20,ok
p-00484,u-0313,2024-02-02,ok
p-00485,u-0313,2024-03-02,ok
p-00486,u-0313,2023-12-21,failed
p-00487,u-0313,2024-01-07,ok
p-00488,u-0314,2024-02-22,ok
p-00489,u-0314,2024-01-25,ok
p-00490,u-0314,2023-12-27,ok
p-00491,u-0314,2024-01-29,ok
p-00492,u-0315,2024-01-12,ok
p-00493,u-0315,2024-01-13,ok
p-00494,u-0315,2024-02-12,ok
p-00495,u-0315,2023-12-28,ok
p-00496,u-0317,2024-02-18,ok
p-00497,u-0318,2023-12-22,ok
p-00498,u-0318,2024-02-20,ok
p-00499,u-0318,2023-12-05,ok
p-00500,u-0318,2024-02-17,ok
p-00501,u-0320,2023-12-26,ok
p-00502,u-0320,2023-12-19,ok
p-00503,u-0321,2023-12-13,ok
p-00504,u-0322,2024-01-05,ok
p-00505,u-0322,2024-01-26,ok
p-00506,u-0322,2024-01-21,ok
p-00507,u-0322,2023-12-21,ok
p-00508,u-0323,2024-02-22,failed
p-00509,u-0323,2023-12-31,ok
p-00510,u-0324,2024-01-21,ok
p-00511,u-0324,2024-02-23,ok
p-00512,u-0324,2024-02-20,failed
p-00513,u-0325,2024-01-11,ok
p-00514,u-0325,2023-12-28,ok
p-00515,u-0325,2024-02-14,ok
p-00516,u-0325,2024-03-01,ok
p-00517,u-0326,2023-12-19,failed
p-00518,u-0326,2024-02-19,ok
p-00519,u-0326,2023-12-24,ok
p-00520,u-0328,2024-02-10,ok
p-00521,u-0329,2023-12-22,ok
p-00522,u-0329,2024-01-24,ok
p-00523,u-0329,2024-01-24,ok
p-00524,u-0331,2023-12-30,ok
p-00525,u-0331,2024-02-29,ok
p-00526,u-0331,2024-01-19,ok
p-00527,u-0331,2023-12-17,ok
p-00528,u-0334,2024-01-06,ok
p-00529,u-0334,2023-12-23,failed
p-00530,u-0334,2024-02-20,failed
p-00531,u-0334,2023-12-24,failed
p-00532,u-0336,2024-02-09,ok
p-00533,u-0338,2024-01-30,ok
p-00534,u-0338,2023-12-07,failed
p-00535,u-0338,2024-01-24,ok
p-00536,u-0339,2023-12-05,ok
p-00537,u-0339,2024-02-12,ok
p-00538,u-0339,2024-02-18,ok
p-00539,u-0340,2024-02-16,ok
p-00540,u-0341,2024-01-24,ok
p-00541,u-0341,2024-03-02,failed
p-00542,u-0341,2024-02-01,ok
p-00543,u-0341,2024-01-21,ok
p-00544,u-0344,2023-12-24,ok
p-00545,u-0344,2024-01-10,failed
p-00546,u-0345,2023-12-11,ok
p-00547,u-0345,2024-01-04,ok
p-00548,u-0345,2023-12-20,ok
p-00549,u-0345,2024-01-14,ok
p-00550,u-0346,2024-02-13,ok
p-00551,u-0346,2024-01-09,ok
p-00552,u-0346,2024-02-17,ok
p-00553,u-0346,2023-12-12,ok
p-00554,u-0347,2023-12-30,failed
p-00555,u-0350,2023-12-20,ok
p-00556,u-0351,2024-01-16,ok
p-00557,u-0351,2024-01-20,ok
p-00558,u-0351,2024-02-06,failed
p-00559,u-0351,2024-02-27,ok
p-00560,u-0352,2023-12-26,ok
p-00561,u-0352,2024-01-12,failed
p-00562,u-0352,2023-12-22,ok
p-00563,u-0352,2023-12-07,ok
p-00564,u-0353,2024-01-06,ok
p-00565,u-0353,2024-01-10,ok
p-00566,u-0354,2024-02-20,failed
p-00567,u-0354,2024-01-26,failed
p-00568,u-0354,2024-01-10,ok
p-00569,u-0355,2024-01-24,ok
p-00570,u-0355,2024-01-28,ok
p-00571,u-0357,2024-02-05,ok
p-00572,u-0357,2024-01-10,ok
p-00573,u-0357,2024-02-06,ok
p-00574,u-0357,2024-01-03,ok
p-00575,u-0359,2024-01-16,failed
p-00576,u-0359,2024-01-21,ok
p-00577,u-0360,2023-12-29,ok
p-00578,u-0360,2024-01-08,ok
p-00579,u-0360,2024-01-09,ok
p-00580,u-0360,2023-12-30,ok
p-00581,u-0363,2023-12-06,ok
p-00582,u-0363,2024-01-14,ok
p-00583,u-0364,2023-12-20,ok
p-00584,u-0366,2024-01-16,ok
p-00585,u-0366,2023-12-25,ok
p-00586,u-0366,2023-12-25,ok
p-00587,u-0366,2023-12-06,ok
p-00588,u-0367,2024-02-24,ok
p-00589,u-0367,2023-12-06,ok
p-00590,u-0367,2024-01-09,failed
p-00591,u-0368,2024-02-26,ok
p-00592,u-0368,2024-02-05,ok
p-00593,u-0368,2024-02-10,ok
p-00594,u-0368,2024-01-17,failed
p-00595,u-0369,2023-12-29,ok
p-00596,u-0369,2024-01-02,ok
p-00597,u-0369,2023-12-26,ok
p-00598,u-0370,2024-01-17,ok
p-00599,u-0370,2023-12-23,failed
p-00600,u-0370,2023-12-07,ok
p-00601,u-0370,2024-01-12,ok
p-00602,u-0371,2024-02-27,ok
p-00603,u-0372,2024-02-05,ok
p-00604,u-0372,2024-01-17,ok
p-00605,u-0372,2024-02-23,ok
p-00606,u-0372,2024-02-12,ok
p-00607,u-0373,2024-01-15,ok
p-00608,u-0373,2024-03-01,ok
p-00609,u-0373,2024-02-25,ok
p-00610,u-0373,2023-12-28,ok
p-00611,u-0374,2024-02-02,ok
p-00612,u-0374,2023-12-10,ok
p-00613,u-0374,2024-02-18,ok
p-00614,u-0376,2024-01-10,failed
p-00615,u-0376,2024-01-18,ok
p-00616,u-0376,2023-12-18,ok
p-00617,u-0377,2024-02-26,ok
p-00618,u-0377,2024-02-20,ok
p-00619,u-0379,2023-12-06,ok
p-00620,u-0379,2024-02-21,failed
p-00621,u-0380,2024-02-06,failed
p-00622,u-0380,2023-12-23,failed
p-00623,u-0380,2023-12-26,ok
p-00624,u-0380,2024-02-03,ok
p-00625,u-0382,2024-01-07,ok
p-00626,u-0382,2023-12-04,ok
p-00627,u-0382,2024-02-05,ok
p-00628,u-0383,2024-01-03,failed
p-00629,u-0384,2024-02-16,ok
p-00630,u-0385,2024-02-29,ok
p-00631,u-0385,2024-01-03,ok
p-00632,u-0387,2024-01-22,ok
p-00633,u-0387,2023-12-06,ok
p-00634,u-0388,2023-12-25,ok
p-00635,u-0388,2024-02-20,ok
p-00636,u-0388,2024-02-28,ok
p-00637,u-0389,2024-02-22,ok
p-00638,u-0389,2024-01-05,ok
p-00639,u-0389,2024-02-06,ok
p-00640,u-0389,2024-02-26,ok
p-00641,u-0390,2024-02-21,ok
p-00642,u-0393,2024-01-11,ok
p-00643,u-0393,2023-12-19,ok
p-00644,u-0393,2024-02-08,ok
p-00645,u-0393,2024-02-09,ok
p-00646,u-0395,2023-12-18,ok
p-00647,u-0395,2024-01-28,ok
p-00648,u-0395,2023-12-25,ok
p-00649,u-0396,2024-01-10,ok
p-00650,u-0399,2024-02-05,ok
p-00651,u-0399,2024-01-22,ok
p-00652,u-0399,2024-02-26,ok
p-00653,u-0399,2023-12-18,failed
p-00654,u-0401,2024-02-25,failed
p-00655,u-0401,2024-03-02,ok
p-00656,u-0403,2024-02-18,ok
p-00657,u-0403,2024-01-15,ok
p-00658,u-0403,2024-02-13,ok
p-00659,u-0403,2023-12-31,ok
p-00660,u-0404,2024-01-26,ok
p-00661,u-0404,2024-01-03,ok
p-00662,u-0405,2024-02-23,failed
p-00663,u-0405,2023-12-19,ok
p-00664,u-0405,2024-02-17,ok
p-00665,u-0406,2024-02-17,ok
p-00666,u-0408,2024-01-23,ok
p-00667,u-0408,2023-12-05,ok
p-00668,u-0408,2023-12-20,ok
p-00669,u-0408,2024-02-16,ok
p-00670,u-0412,2024-01-02,ok
p-00671,u-0413,2024-02-11,ok
p-00672,u-0413,2023-12-10,failed
p-00673,u-0413,2024-01-26,ok
p-00674,u-0413,2023-12-16,ok
p-00675,u-0415,2023-12-13,failed
p-00676,u-0416,2023-12-05,ok
p-00677,u-0416,2023-12-19,ok
p-00678,u-0416,2024-01-11,ok
p-00679,u-0421,2024-01-21,ok
p-00680,u-0421,2023-12-22,ok
p-00681,u-0421,2024-01-05,ok
p-00682,u-0422,2024-02-02,ok
p-00683,u-0423,2024-01-04,ok
p-00684,u-0423,2024-01-22,ok
p-00685,u-0423,2024-02-08,ok
p-00686,u-0423,2023-12-27,ok
p-00687,u-0424,2024-01-08,failed
p-00688,u-0426,2024-01-18,ok
p-00689,u-0426,2024-01-18,ok
p-00690,u-0426,2024-02-26,failed
p-00691,u-0427,2023-12-08,ok
p-00692,u-0429,2024-02-15,ok
p-00693,u-0429,2024-01-31,ok
p-00694,u-0429,2024-01-02,ok
p-00695,u-0429,2023-12-10,ok
p-00696,u-0431,2023-12-23,ok
p-00697,u-0431,2023-12-23,ok
p-00698,u-0431,2024-01-18,ok
